Club,Boat Type,Sub Category,Rank,Event
TRENTHAM BOAT CLUB,4x,W.B2.4+,62,Schools Head 2018
SWANSEA UNIVERSITY ROWING CLUB,4x,W.B2.4+,63,Schools Head 2018
KINGS SCHOOL CHESTER,4x,W.J16.4x-,63,Schools Head 2018
BEDFORD GIRLS SCHOOL ROWING CLUB,4x,W.J18.4+,64,Schools Head 2018
NOTTINGHAM UNIVERSITY BOAT CLUB,4x,W.B2.4+,65,Schools Head 2018
THE GORSE BOAT CLUB,4x,W.J18.4+,65,Schools Head 2018
AGECROFT,4+,Women's Club Coxed Fours: Heat C,2,Wallingford Regatta 2018
AGECROFT,8+,Women's Club Eights: Heat A,1,Wallingford Regatta 2018
AGECROFT,4+,Women's Club Coxed Fours: Final,3,Wallingford Regatta 2018
AGECROFT,8+,Women's Club Eights: Final,1,Wallingford Regatta 2018
AGECROFT,4+,Women's Club Coxed Fours: Heat B,2,Wallingford Regatta 2018
AURIOL KENSINGTON,4+,Women's Club Coxed Fours: Final,6,Wallingford Regatta 2018
AURIOL KENSINGTON,4-,Women's Challenge Coxless Fours: Repechage,5,Wallingford Regatta 2018
AURIOL KENSINGTON,4-,Women's Challenge Coxless Fours: Heat B,3,Wallingford Regatta 2018
AURIOL KENSINGTON,4+,Women's Club Coxed Fours: Heat C,1,Wallingford Regatta 2018
AURIOL KENSINGTON,4-,Women's Challenge Coxless Fours: Heat C,4,Wallingford Regatta 2018
AURIOL KENSINGTON,4+,Women's Club Coxed Fours: Final,5,Wallingford Regatta 2018
AURIOL KENSINGTON,4+,Women's Club Coxed Fours: Heat B,1,Wallingford Regatta 2018
AMERICAN SCH,4x,Women's Junior U16 Quadruple Sculls: Heat A,6,Wallingford Regatta 2018
AMERICAN SCH,2x,Women's Junior/School Double Sculls: Heat A,NA,Wallingford Regatta 2018
BRIDGNORTH RC,8+,Women's Club Eights: Heat B,5,Wallingford Regatta 2018
CANTABRIGIAN,8+,Women's Club Eights: Final,3,Wallingford Regatta 2018
CANTABRIGIAN,4-,Women's Challenge Coxless Fours: Heat D,1,Wallingford Regatta 2018
CANTABRIGIAN,4+,Women's Club Coxed Fours: Heat C,6,Wallingford Regatta 2018
CANTABRIGIAN,4+,Women's Club Coxed Fours: Heat A,4,Wallingford Regatta 2018
CANTABRIGIAN,8+,Women's Club Eights: Heat A,2,Wallingford Regatta 2018
CANTABRIGIAN,8+,Women's Challenge Eights: Final,4,Wallingford Regatta 2018
CANTABRIGIAN,4-,Women's Challenge Coxless Fours: Final,3,Wallingford Regatta 2018
CANTABRIGIAN,8+,Women's Challenge Eights: Heat A,2,Wallingford Regatta 2018
CAMBRIDGE CITY RC,4-,Women's Challenge Coxless Fours: Heat D,3,Wallingford Regatta 2018
BRISTOL CITY RC,4+,Women's Club Coxed Fours: Heat B,3,Wallingford Regatta 2018
BRISTOL CITY RC,8+,Women's Club Eights: Heat B,6,Wallingford Regatta 2018
BRISTOL CITY RC,4-,Women's Challenge Coxless Fours: Heat C,3,Wallingford Regatta 2018
BRISTOL CITY RC,4+,Women's Club Coxed Fours: Heat C,4,Wallingford Regatta 2018
BRISTOL CITY RC,4+,Women's Club Coxed Fours: Final,4,Wallingford Regatta 2018
OXFORD CITY,8+,Women's Challenge Eights: Heat B,4,Wallingford Regatta 2018
OXFORD CITY,8+,Women's Club Eights: Heat B,3,Wallingford Regatta 2018
OXFORD CITY,8+,Women's Club Eights: Final,4,Wallingford Regatta 2018
OXFORD CITY,4-,Women's Challenge Coxless Fours: Heat C,NA,Wallingford Regatta 2018
OXFORD CITY,2x,Women's Club Double Sculls: Heat B,3,Wallingford Regatta 2018
CURLEW,8+,Women's Challenge Eights: Heat A,5,Wallingford Regatta 2018
CURLEW,8+,Women's Club Eights: Heat A,5,Wallingford Regatta 2018
EMANUEL SCH,4+,Women's Junior U16 Coxed Fours: Heat A,1,Wallingford Regatta 2018
EMANUEL SCH,4+,Women's Junior/School  Coxed Fours: Heat B,4,Wallingford Regatta 2018
EMANUEL SCH,4+,Women's Junior U16 Coxed Fours: Final,4,Wallingford Regatta 2018
EMANUEL SCH,4x,Women's Junior U16 Quadruple Sculls: Heat B,NA,Wallingford Regatta 2018
FURNIVALL,4x,Women's Challenge Quadruple Sculls: Heat A,6,Wallingford Regatta 2018
GLOBE,4x,Women's Junior/School Quadruple Sculls: Final,5,Wallingford Regatta 2018
GLOBE,4x,Women's Junior/School Quadruple Sculls: Heat B,2,Wallingford Regatta 2018
GLOBE,4x,Women's Junior U16 Quadruple Sculls: Heat A,5,Wallingford Regatta 2018
GODOLPHIN SCH,8+,Women's Junior U15 Eights: Final,6,Wallingford Regatta 2018
GODOLPHIN SCH,4+,Women's Junior U16 Coxed Fours: Heat B,3,Wallingford Regatta 2018
GREENBANK FALMOUTH,1x,Women's Club Single Sculls: Heat B,3,Wallingford Regatta 2018
GREENBANK FALMOUTH,1x,Women's Club Single Sculls: Final,6,Wallingford Regatta 2018
GROSVENOR RC,1x,Women's Club Single Sculls: Final,2,Wallingford Regatta 2018
GROSVENOR RC,1x,Women's Club Single Sculls: Final,4,Wallingford Regatta 2018
GROSVENOR RC,1x,Women's Club Single Sculls: Heat B,1,Wallingford Regatta 2018
GROSVENOR RC,1x,Women's Club Single Sculls: Heat A,1,Wallingford Regatta 2018
HEREFORD CATH SCH,4x,Women's Junior/School Quadruple Sculls: Heat A,5,Wallingford Regatta 2018
HEADINGTON SCH,8+,Women's Club Eights: Heat B,2,Wallingford Regatta 2018
HEADINGTON SCH,8+,Women's Junior/School Eights: Final,1,Wallingford Regatta 2018
HEADINGTON SCH,4x,Women's Junior/School Quadruple Sculls: Final,4,Wallingford Regatta 2018
HEADINGTON SCH,8+,Women's Club Eights: Final,6,Wallingford Regatta 2018
HEADINGTON SCH,1x,Women's Challenge Single Sculls: Final,1,Wallingford Regatta 2018
HEADINGTON SCH,4x,Women's Junior U16 Quadruple Sculls: Final,1,Wallingford Regatta 2018
HEADINGTON SCH,4x,Women's Junior U16 Quadruple Sculls: Heat A,1,Wallingford Regatta 2018
HEADINGTON SCH,4x,Women's Junior/School Quadruple Sculls: Heat A,3,Wallingford Regatta 2018
HEADINGTON SCH,2x,Women's Challenge Double Sculls: Final,1,Wallingford Regatta 2018
HEADINGTON SCH,4x,Women's Junior U16 Quadruple Sculls: Heat B,3,Wallingford Regatta 2018
HEADINGTON SCH,1x,Women's Junior U18 Single Sculls: Final,NA,Wallingford Regatta 2018
HEADINGTON SCH,4x,Women's Junior U16 Quadruple Sculls: Final,6,Wallingford Regatta 2018
HEADINGTON SCH,8+,Women's Challenge Eights: Heat A,3,Wallingford Regatta 2018
HEADINGTON SCH,8+,Women's Junior/School Eights: Heat B,4,Wallingford Regatta 2018
HEADINGTON SCH,8+,Women's Junior/School Eights: Heat A,1,Wallingford Regatta 2018
HEADINGTON SCH,8+,Women's Challenge Eights: Final,5,Wallingford Regatta 2018
HENLEY RC,8+,Women's Junior U16 Eights: Final,NA,Wallingford Regatta 2018
HENLEY RC,8+,Women's Junior U15 Eights: Final,1,Wallingford Regatta 2018
HENLEY RC,4+,Women's Junior U16 Coxed Fours: Heat B,NA,Wallingford Regatta 2018
HENLEY RC,4x,Women's Challenge Quadruple Sculls: Final,5,Wallingford Regatta 2018
HENLEY RC,2x,Women's Junior/School Double Sculls: Heat A,3,Wallingford Regatta 2018
HENLEY RC,2x,Women's Junior/School Double Sculls: Final,2,Wallingford Regatta 2018
HENLEY RC,4+,Women's Junior/School  Coxed Fours: Final,1,Wallingford Regatta 2018
HENLEY RC,4x,Women's Challenge Quadruple Sculls: Heat B,2,Wallingford Regatta 2018
HENLEY RC,4+,Women's Junior/School  Coxed Fours: Heat B,1,Wallingford Regatta 2018
HINKSEY SCULLING SCH,4x,Women's Junior/School Quadruple Sculls: Heat B,5,Wallingford Regatta 2018
HINKSEY SCULLING SCH,2x,Women's Junior/School Double Sculls: Heat A,6,Wallingford Regatta 2018
HINKSEY SCULLING SCH,4x,Women's Junior U16 Quadruple Sculls: Heat B,4,Wallingford Regatta 2018
HINKSEY SCULLING SCH,4x,Women's Challenge Quadruple Sculls: Heat A,5,Wallingford Regatta 2018
HOLLINGWORTH LAKE,4x,Women's Challenge Quadruple Sculls: Heat B,6,Wallingford Regatta 2018
ISLE OF ELY RC,2x,Women's Junior/School Double Sculls: Final,3,Wallingford Regatta 2018
ISLE OF ELY RC,1x,Women's Challenge Single Sculls: Final,7,Wallingford Regatta 2018
ISLE OF ELY RC,2x,Women's Junior/School Double Sculls: Heat A,1,Wallingford Regatta 2018
ISLE OF ELY RC,1x,Women's Club Single Sculls: Heat B,6,Wallingford Regatta 2018
KINGSTON RC,4-,Women's Challenge Coxless Fours: Heat C,1,Wallingford Regatta 2018
KINGSTON RC,4+,Women's Junior U16 Coxed Fours: Heat A,5,Wallingford Regatta 2018
KINGSTON RC,4+,Women's Junior U16 Coxed Fours: Final,1,Wallingford Regatta 2018
KINGSTON RC,4+,Women's Junior U16 Coxed Fours: Heat B,1,Wallingford Regatta 2018
KINGSTON RC,4-,Women's Challenge Coxless Fours: Final,6,Wallingford Regatta 2018
KINGSTON RC,2x,Women's Junior/School Double Sculls: Final,6,Wallingford Regatta 2018
KINGSTON RC,2x,Women's Junior/School Double Sculls: Heat B,3,Wallingford Regatta 2018
KINGS SCH ELY,2x,Women's Junior/School Double Sculls: Heat A,5,Wallingford Regatta 2018
KINGS SCH ELY,2x,Women's Junior/School Double Sculls: Heat B,NA,Wallingford Regatta 2018
KINGS SCH ELY,2x,Women's Junior/School Double Sculls: Heat A,4,Wallingford Regatta 2018
KINGS SCH ELY,4x,Women's Junior/School Quadruple Sculls: Heat A,NA,Wallingford Regatta 2018
KINGS SCH ELY,4x,Women's Junior/School Quadruple Sculls: Heat B,3,Wallingford Regatta 2018
KINGS SCH ELY,4x,Women's Junior/School Quadruple Sculls: Final,6,Wallingford Regatta 2018
KINGS SCH WORCS,8+,Women's Junior/School Eights: Heat B,6,Wallingford Regatta 2018
LEA RC,4-,Women's Challenge Coxless Fours: Heat A,2,Wallingford Regatta 2018
LEA RC,4+,Women's Club Coxed Fours: Heat C,5,Wallingford Regatta 2018
LEA RC,4-,Women's Challenge Coxless Fours: Repechage,2,Wallingford Regatta 2018
LEA RC,8+,Women's Junior/School Eights: Final,5,Wallingford Regatta 2018
LEA RC,4-,Women's Challenge Coxless Fours: Final,4,Wallingford Regatta 2018
LEA RC,4-,Women's Challenge Coxless Fours: Heat B,4,Wallingford Regatta 2018
LEA RC,8+,Women's Junior/School Eights: Heat B,2,Wallingford Regatta 2018
LADY E HOLLES,2-,Women's Challenge Coxless Pairs: Final,6,Wallingford Regatta 2018
LADY E HOLLES,8+,Women's Challenge Eights: Final,1,Wallingford Regatta 2018
LADY E HOLLES,4-,Women's Challenge Coxless Fours: Heat C,NA,Wallingford Regatta 2018
LADY E HOLLES,8+,Women's Junior U16 Eights: Final,2,Wallingford Regatta 2018
LADY E HOLLES,4+,Women's Junior/School  Coxed Fours: Final,5,Wallingford Regatta 2018
LADY E HOLLES,2-,Women's Challenge Coxless Pairs: Final,2,Wallingford Regatta 2018
LADY E HOLLES,4+,Women's Junior/School  Coxed Fours: Heat A,3,Wallingford Regatta 2018
LADY E HOLLES,8+,Women's Junior U15 Eights: Final,3,Wallingford Regatta 2018
LADY E HOLLES,8+,Women's Challenge Eights: Heat A,1,Wallingford Regatta 2018
LONDON RC,1x,Women's Challenge Single Sculls: Final,2,Wallingford Regatta 2018
LATYMER UPPER,4+,Women's Junior U16 Coxed Fours: Final,5,Wallingford Regatta 2018
LATYMER UPPER,4x,Women's Challenge Quadruple Sculls: Heat B,1,Wallingford Regatta 2018
LATYMER UPPER,4x,Women's Challenge Quadruple Sculls: Final,3,Wallingford Regatta 2018
LATYMER UPPER,8+,Women's Challenge Eights: Heat B,3,Wallingford Regatta 2018
LATYMER UPPER,4x,Women's Junior/School Quadruple Sculls: Final,1,Wallingford Regatta 2018
LATYMER UPPER,8+,Women's Junior/School Eights: Heat B,1,Wallingford Regatta 2018
LATYMER UPPER,4x,Women's Junior U16 Quadruple Sculls: Final,2,Wallingford Regatta 2018
LATYMER UPPER,4+,Women's Junior U16 Coxed Fours: Heat A,4,Wallingford Regatta 2018
LATYMER UPPER,4x,Women's Junior/School Quadruple Sculls: Heat B,1,Wallingford Regatta 2018
LATYMER UPPER,8+,Women's Challenge Eights: Final,6,Wallingford Regatta 2018
LATYMER UPPER,4x,Women's Junior U16 Quadruple Sculls: Heat B,1,Wallingford Regatta 2018
LATYMER UPPER,8+,Women's Junior/School Eights: Final,3,Wallingford Regatta 2018
MORTLAKE AA,1x,Women's Club Single Sculls: Final,3,Wallingford Regatta 2018
MORTLAKE AA,8+,Women's Club Eights: Final,5,Wallingford Regatta 2018
MORTLAKE AA,8+,Women's Club Eights: Heat B,4,Wallingford Regatta 2018
MORTLAKE AA,1x,Women's Club Single Sculls: Heat A,3,Wallingford Regatta 2018
MORTLAKE AA,8+,Women's Club Eights: Heat A,3,Wallingford Regatta 2018
MORTLAKE AA,1x,Women's Club Single Sculls: Heat B,7,Wallingford Regatta 2018
MARLOW RC,4+,Women's Junior U16 Coxed Fours: Heat A,2,Wallingford Regatta 2018
MARLOW RC,4+,Women's Junior/School  Coxed Fours: Heat A,1,Wallingford Regatta 2018
MARLOW RC,4+,Women's Junior U16 Coxed Fours: Final,2,Wallingford Regatta 2018
MARLOW RC,4+,Women's Junior U16 Coxed Fours: Heat B,2,Wallingford Regatta 2018
MARLOW RC,2x,Women's Junior/School Double Sculls: Heat B,1,Wallingford Regatta 2018
MARLOW RC,1x,Women's Club Single Sculls: Heat A,6,Wallingford Regatta 2018
MARLOW RC,4+,Women's Junior U16 Coxed Fours: Final,3,Wallingford Regatta 2018
MARLOW RC,8+,Women's Junior U15 Eights: Final,2,Wallingford Regatta 2018
MARLOW RC,2x,Women's Junior/School Double Sculls: Final,1,Wallingford Regatta 2018
MARLOW RC,4+,Women's Junior/School  Coxed Fours: Final,2,Wallingford Regatta 2018
MARLOW RC,4+,Women's Club Coxed Fours: Heat C,3,Wallingford Regatta 2018
MAIDENHEAD RC,4x,Women's Junior U16 Quadruple Sculls: Final,3,Wallingford Regatta 2018
MAIDENHEAD RC,4x,Women's Junior U16 Quadruple Sculls: Final,5,Wallingford Regatta 2018
MAIDENHEAD RC,4x,Women's Junior U16 Quadruple Sculls: Heat B,2,Wallingford Regatta 2018
MAIDENHEAD RC,4x,Women's Junior U16 Quadruple Sculls: Heat A,2,Wallingford Regatta 2018
MINERVA BATH,4+,Women's Club Coxed Fours: Heat B,6,Wallingford Regatta 2018
NOTTS COUNTY,8+,Women's Junior/School Eights: Heat A,2,Wallingford Regatta 2018
NOTTS COUNTY,8+,Women's Junior/School Eights: Final,2,Wallingford Regatta 2018
NORWICH RC,1x,Women's Club Single Sculls: Heat A,2,Wallingford Regatta 2018
NORWICH RC,1x,Women's Club Single Sculls: Final,1,Wallingford Regatta 2018
PUTNEY HIGH SCH,4+,Women's Junior/School  Coxed Fours: Final,3,Wallingford Regatta 2018
PUTNEY HIGH SCH,4+,Women's Junior/School  Coxed Fours: Heat A,4,Wallingford Regatta 2018
PUTNEY HIGH SCH,8+,Women's Junior/School Eights: Final,4,Wallingford Regatta 2018
PUTNEY HIGH SCH,4+,Women's Junior/School  Coxed Fours: Heat B,2,Wallingford Regatta 2018
PUTNEY HIGH SCH,8+,Women's Junior/School Eights: Heat B,3,Wallingford Regatta 2018
PUTNEY TOWN,4-,Women's Challenge Coxless Fours: Repechage,6,Wallingford Regatta 2018
PUTNEY TOWN,4-,Women's Challenge Coxless Fours: Heat C,2,Wallingford Regatta 2018
PUTNEY TOWN,4-,Women's Challenge Coxless Fours: Heat B,5,Wallingford Regatta 2018
PUTNEY TOWN,4+,Women's Club Coxed Fours: Heat A,6,Wallingford Regatta 2018
RAF,1x,Women's Club Single Sculls: Heat A,4,Wallingford Regatta 2018
ROYAL CHESTER,8+,Women's Challenge Eights: Heat A,4,Wallingford Regatta 2018
ROYAL CHESTER,4-,Women's Challenge Coxless Fours: Heat A,3,Wallingford Regatta 2018
ROYAL CHESTER,4-,Women's Challenge Coxless Fours: Heat D,4,Wallingford Regatta 2018
ROYAL CHESTER,4-,Women's Challenge Coxless Fours: Repechage,4,Wallingford Regatta 2018
READING RC,1x,Women's Club Single Sculls: Heat B,5,Wallingford Regatta 2018
READING RC,2x,Women's Club Double Sculls: Heat A,5,Wallingford Regatta 2018
SURBITON H SCH,8+,Women's Junior/School Eights: Heat A,4,Wallingford Regatta 2018
SURBITON H SCH,4+,Women's Junior/School  Coxed Fours: Heat B,3,Wallingford Regatta 2018
SURBITON H SCH,4+,Women's Junior/School  Coxed Fours: Final,6,Wallingford Regatta 2018
SURBITON H SCH,8+,Women's Junior U16 Eights: Final,1,Wallingford Regatta 2018
ST EDWARDS SCH,4x,Women's Junior/School Quadruple Sculls: Heat B,NA,Wallingford Regatta 2018
ST GEORGES COLL,4+,Women's Junior U16 Coxed Fours: Heat A,NA,Wallingford Regatta 2018
SHIPLAKE COLL,1x,Women's Junior U18 Single Sculls: Final,1,Wallingford Regatta 2018
SHIPLAKE COLL,2-,Women's Challenge Coxless Pairs: Final,4,Wallingford Regatta 2018
ROYAL SHREW SCH BC,8+,Women's Junior/School Eights: Heat A,5,Wallingford Regatta 2018
SONS OF THAMES,4+,Women's Club Coxed Fours: Heat A,5,Wallingford Regatta 2018
SONS OF THAMES,8+,Women's Club Eights: Heat A,6,Wallingford Regatta 2018
ST PAULS GIRLS,2x,Women's Junior/School Double Sculls: Heat B,4,Wallingford Regatta 2018
ST PAULS GIRLS,8+,Women's Junior U16 Eights: Final,3,Wallingford Regatta 2018
ST PAULS GIRLS,1x,Women's Junior U18 Single Sculls: Final,4,Wallingford Regatta 2018
STAR CLUB,2x,Women's Club Double Sculls: Heat A,2,Wallingford Regatta 2018
STAR CLUB,2x,Women's Club Double Sculls: Final,3,Wallingford Regatta 2018
STAINES,2x,Women's Club Double Sculls: Heat A,6,Wallingford Regatta 2018
STAINES,2x,Women's Club Double Sculls: Heat B,5,Wallingford Regatta 2018
STAINES,4-,Women's Challenge Coxless Fours: Heat A,5,Wallingford Regatta 2018
SIR W BORLASE,4x,Women's Junior/School Quadruple Sculls: Heat B,4,Wallingford Regatta 2018
SIR W BORLASE,1x,Women's Club Single Sculls: Heat A,5,Wallingford Regatta 2018
SIR W BORLASE,4+,Women's Junior/School  Coxed Fours: Final,4,Wallingford Regatta 2018
SIR W BORLASE,4+,Women's Junior/School  Coxed Fours: Heat A,2,Wallingford Regatta 2018
SIR W BORLASE,4x,Women's Challenge Quadruple Sculls: Heat B,5,Wallingford Regatta 2018
SIR W PERKINS'S SCH,4+,Women's Junior/School  Coxed Fours: Heat B,5,Wallingford Regatta 2018
SIR W PERKINS'S SCH,8+,Women's Junior/School Eights: Heat A,3,Wallingford Regatta 2018
SIR W PERKINS'S SCH,4x,Women's Junior/School Quadruple Sculls: Final,3,Wallingford Regatta 2018
SIR W PERKINS'S SCH,4+,Women's Junior/School  Coxed Fours: Heat A,5,Wallingford Regatta 2018
SIR W PERKINS'S SCH,8+,Women's Junior/School Eights: Final,6,Wallingford Regatta 2018
SIR W PERKINS'S SCH,4x,Women's Junior/School Quadruple Sculls: Heat A,2,Wallingford Regatta 2018
THAMES RC,8+,Women's Challenge Eights: Final,3,Wallingford Regatta 2018
THAMES RC,2x,Women's Challenge Double Sculls: Final,4,Wallingford Regatta 2018
THAMES RC,2x,Women's Junior/School Double Sculls: Heat A,2,Wallingford Regatta 2018
THAMES RC,4-,Women's Challenge Coxless Fours: Heat A,1,Wallingford Regatta 2018
THAMES RC,2-,Women's Challenge Coxless Pairs: Final,1,Wallingford Regatta 2018
THAMES RC,4-,Women's Challenge Coxless Fours: Heat D,NA,Wallingford Regatta 2018
THAMES RC,4+,Women's Club Coxed Fours: Heat B,5,Wallingford Regatta 2018
THAMES RC,8+,Women's Club Eights: Heat B,1,Wallingford Regatta 2018
THAMES RC,4-,Women's Challenge Coxless Fours: Heat B,2,Wallingford Regatta 2018
THAMES RC,4x,Women's Challenge Quadruple Sculls: Heat A,1,Wallingford Regatta 2018
THAMES RC,1x,Women's Junior U18 Single Sculls: Final,2,Wallingford Regatta 2018
THAMES RC,4x,Women's Challenge Quadruple Sculls: Final,1,Wallingford Regatta 2018
THAMES RC,4-,Women's Challenge Coxless Fours: Final,2,Wallingford Regatta 2018
THAMES RC,1x,Women's Junior U18 Single Sculls: Final,5,Wallingford Regatta 2018
THAMES RC,2x,Women's Challenge Double Sculls: Final,3,Wallingford Regatta 2018
THAMES RC,2x,Women's Junior/School Double Sculls: Final,5,Wallingford Regatta 2018
THAMES RC,8+,Women's Challenge Eights: Heat B,2,Wallingford Regatta 2018
THAMES RC,8+,Women's Club Eights: Final,2,Wallingford Regatta 2018
THAMES RC,4-,Women's Challenge Coxless Fours: Repechage,1,Wallingford Regatta 2018
THAMES RC,4-,Women's Challenge Coxless Fours: Final,5,Wallingford Regatta 2018
TIDEWAY SCULLERS,4x,Women's Junior/School Quadruple Sculls: Heat A,1,Wallingford Regatta 2018
TIDEWAY SCULLERS,4x,Women's Junior/School Quadruple Sculls: Final,2,Wallingford Regatta 2018
UNIV OF LONDON BC,1x,Women's Challenge Single Sculls: Final,5,Wallingford Regatta 2018
UNIV OF LONDON BC,2x,Women's Challenge Double Sculls: Final,6,Wallingford Regatta 2018
UNIV OF LONDON BC,1x,Women's Challenge Single Sculls: Final,3,Wallingford Regatta 2018
UPPER THAMES RC,4x,Women's Challenge Quadruple Sculls: Final,4,Wallingford Regatta 2018
UPPER THAMES RC,2x,Women's Club Double Sculls: Heat B,4,Wallingford Regatta 2018
UPPER THAMES RC,4x,Women's Challenge Quadruple Sculls: Heat B,3,Wallingford Regatta 2018
VESTA,4-,Women's Challenge Coxless Fours: Repechage,3,Wallingford Regatta 2018
VESTA,4-,Women's Challenge Coxless Fours: Heat A,4,Wallingford Regatta 2018
VESTA,8+,Women's Challenge Eights: Final,2,Wallingford Regatta 2018
VESTA,2x,Women's Club Double Sculls: Heat A,3,Wallingford Regatta 2018
VESTA,2x,Women's Club Double Sculls: Final,5,Wallingford Regatta 2018
VESTA,8+,Women's Club Eights: Heat A,4,Wallingford Regatta 2018
VESTA,8+,Women's Challenge Eights: Heat B,1,Wallingford Regatta 2018
VESTA,4-,Women's Challenge Coxless Fours: Final,1,Wallingford Regatta 2018
VESTA,4+,Women's Club Coxed Fours: Heat A,3,Wallingford Regatta 2018
VESTA,4-,Women's Challenge Coxless Fours: Heat B,1,Wallingford Regatta 2018
VESTA,4-,Women's Challenge Coxless Fours: Heat D,2,Wallingford Regatta 2018
VESTA,1x,Women's Club Single Sculls: Heat B,4,Wallingford Regatta 2018
WADHAM COLL,1x,Women's Challenge Single Sculls: Final,4,Wallingford Regatta 2018
WARWICK BC,4x,Women's Challenge Quadruple Sculls: Final,7,Wallingford Regatta 2018
WARWICK BC,2x,Women's Club Double Sculls: Final,4,Wallingford Regatta 2018
WARWICK BC,2x,Women's Club Double Sculls: Heat B,2,Wallingford Regatta 2018
WARWICK BC,4x,Women's Challenge Quadruple Sculls: Heat A,3,Wallingford Regatta 2018
WEYBRIDGE RC,2x,Women's Junior/School Double Sculls: Heat B,6,Wallingford Regatta 2018
WEYBRIDGE RC,4+,Women's Club Coxed Fours: Heat B,4,Wallingford Regatta 2018
WALLINGFORD RC,4x,Women's Junior U16 Quadruple Sculls: Heat A,4,Wallingford Regatta 2018
WALLINGFORD RC,8+,Women's Junior U15 Eights: Final,4,Wallingford Regatta 2018
WORCESTER RC,4x,Women's Challenge Quadruple Sculls: Final,6,Wallingford Regatta 2018
WORCESTER RC,4x,Women's Junior/School Quadruple Sculls: Heat A,4,Wallingford Regatta 2018
WORCESTER RC,2x,Women's Challenge Double Sculls: Final,5,Wallingford Regatta 2018
WORCESTER RC,4x,Women's Challenge Quadruple Sculls: Heat A,4,Wallingford Regatta 2018
WORCESTER RC,2-,Women's Challenge Coxless Pairs: Final,3,Wallingford Regatta 2018
WORCESTER RC,4x,Women's Challenge Quadruple Sculls: Heat B,4,Wallingford Regatta 2018
MAIDENHEAD RC,4x+,W.J14.4x+,1,Junior Sculling Head 2018
HENLEY RC,4x+,W.J14.4x+,2,Junior Sculling Head 2018
WYCLIFFE COLLEGE BC,4x+,W.J14.4x+,3,Junior Sculling Head 2018
TIDEWAY SCULLERS SCH.,4x+,W.J14.4x+,4,Junior Sculling Head 2018
TRENTHAM BC,4x+,W.J14.4x+,5,Junior Sculling Head 2018
HEADINGTON SCH. OXFORD BC,4x+,W.J14.4x+,6,Junior Sculling Head 2018
HINKSEY SCULLING SCH.,4x+,W.J14.4x+,7=,Junior Sculling Head 2018
MAIDENHEAD RC,4x+,W.J14.4x+,7=,Junior Sculling Head 2018
WIMBLEDON HIGH SCH. BC,4x+,W.J14.4x+,9,Junior Sculling Head 2018
ROYAL CHESTER RC,4x+,W.J14.4x+,10,Junior Sculling Head 2018
HEADINGTON SCH. OXFORD BC,4x+,W.J14.4x+,11,Junior Sculling Head 2018
BEWL BRIDGE RC,4x+,W.J14.4x+,12,Junior Sculling Head 2018
THE GRANGE SCH. (HARTFORD) RC,4x+,W.J14.4x+,13,Junior Sculling Head 2018
GUILDFORD RC,4x+,W.J14.4x+,14,Junior Sculling Head 2018
ETON EXCELSIOR RC,4x+,W.J14.4x+,15,Junior Sculling Head 2018
WARRINGTON RC,4x+,W.J14.4x+,16,Junior Sculling Head 2018
HENLEY RC,4x+,W.J14.4x+,17,Junior Sculling Head 2018
NORTHWICH RC,4x+,W.J14.4x+,18,Junior Sculling Head 2018
TRAFFORD RC,4x+,W.J14.4x+,19,Junior Sculling Head 2018
ST EDWARDS SCH. BC,4x+,W.J14.4x+,20,Junior Sculling Head 2018
SURBITON HIGH SCH. BC,4x+,W.J14.4x+,21,Junior Sculling Head 2018
FULHAM REACH BC,4x+,W.J14.4x+,22,Junior Sculling Head 2018
EMANUEL SCH. BC,4x+,W.J14.4x+,23,Junior Sculling Head 2018
TEAM KEANE SCULLING SCH.,4x+,W.J14.4x+,24,Junior Sculling Head 2018
RADNOR HOUSE SCH. RC,4x+,W.J14.4x+,25,Junior Sculling Head 2018
ROYAL CHESTER RC,4x+,W.J14.4x+,26,Junior Sculling Head 2018
STRATFORD-UPON-AVON BC,4x+,W.J14.4x+,27,Junior Sculling Head 2018
THE GORSE BC,4x+,W.J14.4x+,28=,Junior Sculling Head 2018
WALTON RC,4x+,W.J14.4x+,28=,Junior Sculling Head 2018
MARLOW RC,4x+,W.J14.4x+,30,Junior Sculling Head 2018
WARRINGTON RC,4x+,W.J14.4x+,31,Junior Sculling Head 2018
EVESHAM RC,4x+,W.J14.4x+,32,Junior Sculling Head 2018
ETON EXCELSIOR RC,4x+,W.J14.4x+,33=,Junior Sculling Head 2018
KINGSTON GRAM. SCH. BC,4x+,W.J14.4x+,33=,Junior Sculling Head 2018
ETON EXCELSIOR RC,4x+,W.J14.4x+,35,Junior Sculling Head 2018
GUILDFORD RC,4x+,W.J14.4x+,36,Junior Sculling Head 2018
GREAT MARLOW SCH. BC,4x+,W.J14.4x+,37=,Junior Sculling Head 2018
KINGSTON GRAM. SCH. BC,4x+,W.J14.4x+,37=,Junior Sculling Head 2018
MONMOUTH COMP. SCH. BC,4x+,W.J14.4x+,39,Junior Sculling Head 2018
HEREFORD CATHEDRAL SCH. BC,4x+,W.J14.4x+,40,Junior Sculling Head 2018
BEDFORD GIRLS SCH. RC,4x+,W.J14.4x+,41,Junior Sculling Head 2018
WYCLIFFE COLLEGE BC,4x+,W.J14.4x+,42,Junior Sculling Head 2018
